target_angle,beta,R_mean,stable,eff_rate,time_sec
0.0,0.9338791919979733,0.9317994277165648,1,0.7475,4348.8977427482605
10.0,0.9597085495221104,0.9315426719224927,1,0.7675,4469.753655195236
20.0,0.9242096126880053,0.9309876044832829,1,0.75625,4700.598858833313
30.0,0.9915058305649787,0.931754903590425,1,0.7725,5669.857296943665
40.0,0.9120704402811757,0.9315204098594215,1,0.7475,5593.102907180786
50.0,0.9821428874240398,0.932085866261397,1,0.78375,5221.95067858696
60.0,0.934587202148079,0.9315560291603346,1,0.73875,5704.423274278641
70.0,0.9767433442023418,0.9311538278875371,1,0.74,5656.486532211304
80.0,0.9444902467404428,0.9313304402545585,1,0.735,5565.544331073761
90.0,0.8720831207904056,0.9310440017097267,1,0.7625,3887.334342956543
100.0,0.9072382319796405,0.9318350470174772,1,0.74125,3987.832090854645
109.5,0.9524851262712747,0.9316361725873858,1,0.73375,3460.1889114379883
110.0,0.899772239758357,0.930968310695289,1,0.755,3811.852025270462
120.0,0.9252700001180251,0.9311627327127661,1,0.74625,3568.24409198761
130.0,0.9697010418384346,0.9316050056990878,1,0.73875,3453.932553768158
137.5,0.9173173651981986,0.9311864789133748,1,0.74125,3303.7879655361176
140.0,0.9615617629143073,0.93114492306231,1,0.75,3244.614581346512
150.0,0.9212417822057234,0.9311567961626145,1,0.74,3300.7287907600403
160.0,0.9032104427267681,0.9309000403685408,1,0.74875,3293.715389728546
170.0,0.9561718793430198,0.931591648461247,1,0.7775,3614.70174908638
180.0,0.9517389508918213,0.9315382195098776,1,0.74125,3919.5031826496124
