target_angle,beta,R_mean,stable,eff_rate,time_sec
0.0,0.96572165497997,0.932071024886018,1,0.75375,503.66280794143677
10.0,0.9225115560344339,0.9317415463525827,1,0.71375,473.15706276893616
20.0,0.9538805655324055,0.9310143189589664,1,0.72,487.32587337493896
30.0,0.89587830085993,0.9316287518996963,1,0.75875,480.0514576435089
40.0,0.9277423037695727,0.9317727132408816,1,0.71875,481.4325363636017
50.0,0.9023661698944814,0.9322283434650457,1,0.7425,509.50614190101624
60.0,0.966629533203727,0.9315871960486328,1,0.73,725.6915073394775
70.0,0.9003043929529702,0.9315055684840426,1,0.7175,672.540524482727
80.0,0.9359944337660836,0.931103367211246,1,0.73875,639.8996002674103
90.0,0.9444856954660276,0.9316688236132229,1,0.745,604.9726023674011
100.0,0.9889462803399018,0.9313230195668687,1,0.7775,697.6669044494629
109.5,0.9223241598543885,0.9316851491261398,1,0.765,722.9243490695953
110.0,0.8940020209376743,0.9310558748100304,1,0.72875,614.4471445083618
120.0,0.9653935514681538,0.9309772155205173,1,0.75125,697.1038720607758
130.0,0.9173028356708656,0.9310529065349543,1,0.73625,732.880918264389
137.5,0.9448827444345884,0.9315382195098781,1,0.7525,511.9902844429016
140.0,0.9472015303619098,0.9317163160144382,1,0.73,710.0106103420258
150.0,0.8929594466602797,0.9316999905015205,1,0.73875,670.8693716526031
160.0,0.9464614204031799,0.9317578718655014,1,0.73625,562.7301864624023
170.0,0.9650618137297831,0.9316317201747715,1,0.7375,638.5005202293396
180.0,0.9920928872016056,0.9314803381458969,1,0.75625,668.9342610836029
