target_angle,beta,R_mean,stable,eff_rate,time_sec
0.0,0.9340410761501972,0.932014627659575,1,0.74125,681.7679948806763
10.0,0.9095898822853193,0.9317133477393612,1,0.705,718.6581048965454
20.0,0.9469543608914501,0.9311731216755318,1,0.76,716.6299889087677
30.0,0.9123798149578787,0.9316079739741647,1,0.74375,717.5870435237885
40.0,0.9195451525505025,0.9311879630509118,1,0.72875,718.6681056022644
50.0,0.9166490506736116,0.9321170331496953,1,0.73125,709.5005810260773
60.0,0.9040108226599644,0.9313616071428579,1,0.74375,708.690535068512
70.0,0.9169249203477815,0.9313259878419455,1,0.76125,721.0152394771576
80.0,0.9654945603823152,0.9312874002659581,1,0.74875,705.4783511161804
90.0,0.9102443853522943,0.9313779326557752,1,0.70875,704.0712707042694
100.0,0.921169400755774,0.931943389057751,1,0.7525,700.0740418434143
109.5,0.978600423194079,0.9312725588905776,1,0.7675,694.153703212738
110.0,0.9494529277534851,0.9311864789133735,1,0.77625,692.5576121807098
120.0,0.9238072617600207,0.9312725588905774,1,0.7475,688.2913682460785
130.0,0.9797664418167575,0.9318113008168691,1,0.745,1971.887785434723
137.5,0.9382476596201524,0.931317083016717,1,0.77125,2431.8470935821533
140.0,0.9310275333783329,0.9311864789133748,1,0.76375,2355.4157218933105
150.0,0.8805273183732809,0.931673276025836,1,0.73625,1071.6672961711884
160.0,0.936561223196277,0.9313081781914883,1,0.725,689.0984139442444
170.0,0.9308026603372715,0.9314951795212769,1,0.7325,683.7311074733734
180.0,0.9156181343808246,0.9314521395326756,1,0.7325,704.1152732372284
